,Unnamed: 0,type,boundary_center_x,boundary_center_y,height,width
0,0,Lesion,34831.0,30075.5,405,666
1,1,Lesion,37063.0,30193.5,287,350
2,2,Lesion,50190.0,36778.5,253,270
3,3,Lesion,51081.5,37452.0,420,603
4,4,Lesion,51996.0,38622.5,199,238
5,5,Lesion,52699.5,42482.0,278,331
6,6,Lesion,51277.5,44136.0,372,363
7,7,Lesion,50847.0,44240.0,178,170
8,8,Lesion,49412.0,42829.5,311,206
9,9,Lesion,46632.0,45520.0,176,262
10,10,Lesion,44040.5,49168.0,256,339
11,11,Lesion,45887.5,49961.0,262,279
12,12,Lesion,46384.0,50031.0,330,396
13,13,Lesion,46041.0,50641.5,323,284
14,14,Lesion,45312.5,53322.5,309,421
15,15,Lesion,43985.5,55590.5,493,533
16,16,Lesion,41983.5,58248.0,172,245
17,17,Lesion,49072.0,62304.0,280,328
18,18,Lesion,49445.5,64044.0,200,193
19,19,Lesion,52618.0,63919.5,297,310
20,20,Lesion,56643.5,65392.0,478,477
21,21,Lesion,55141.0,77987.0,330,328
22,22,Lesion,46806.5,80563.5,433,349
23,23,Lesion,45875.0,78393.5,319,292
24,24,Lesion,41541.5,79258.5,577,723
25,25,Lesion,40338.5,80091.5,211,317
26,26,Lesion,54214.5,77457.5,181,295
27,27,Lesion,53743.5,76873.5,255,247
28,28,Lesion,52992.5,77596.0,210,175
29,29,Lesion,57652.5,77529.0,330,295
30,30,Lesion,57075.0,71090.5,193,550
31,31,Lesion,46209.5,73410.5,381,323
32,32,Lesion,42145.0,72250.5,271,328
33,33,Lesion,43410.0,72643.0,208,238
34,34,Lesion,15423.0,42913.0,146,214
35,35,Lesion,13265.0,48751.0,574,354
36,36,Lesion,13194.0,48194.0,338,586
37,37,Lesion,12718.5,52145.0,404,513
38,38,Lesion,17714.0,67935.5,583,532
39,39,Lesion,28550.5,72076.0,192,195
40,40,Lesion,30572.5,72260.0,124,219
41,41,Lesion,38712.0,79551.5,195,136
