,index,type,boundary_center_x,boundary_center_y,height,width
0,0,HSIL,38402.0,1253.5,417,524
1,1,ASC-H,39807.0,1681.0,100,126
2,2,ASC-H,41034.5,1400.5,215,319
3,3,HSIL,43261.0,1676.5,113,170
4,4,HSIL,49946.0,1787.5,205,192
5,5,HSIL,56929.0,4732.0,204,212
6,6,ASC-H,57034.5,5057.0,202,223
7,7,ASC-H,59692.5,4568.5,153,193
8,8,ASC-H,63462.0,6640.0,252,142
9,9,ASC-H,63790.5,8044.5,195,161
10,10,ASC-H,58369.5,8810.0,156,213
11,11,ASC-H,59589.5,8615.5,107,141
12,12,ASC-H,53460.5,5719.0,410,179
13,13,ASC-H,51834.0,6345.5,341,546
14,14,ASC-H,51780.0,6740.5,349,466
15,15,ASC-H,51615.5,7504.0,194,197
16,16,ASC-H,53255.5,7859.5,203,279
17,17,ASC-H,49834.0,5817.5,189,128
18,18,ASC-H,49712.0,5947.5,117,110
19,19,ASC-H,48488.0,6545.0,244,180
20,20,ASC-H,43679.0,5537.5,187,176
21,21,ASC-H,40840.0,5247.5,337,240
22,22,ASC-H,37514.5,7319.5,161,177
23,23,HSIL,36883.0,6499.5,123,246
24,24,ASC-H,35163.0,4046.0,274,226
25,25,ASC-H,37159.5,2459.0,188,193
26,26,ASC-H,34154.0,2599.0,82,166
27,27,HSIL,32778.0,6600.0,144,108
28,28,HSIL,23461.5,7112.0,244,555
29,29,ASC-H,21756.0,9455.0,208,170
30,30,ASC-H,23618.0,9627.5,253,232
31,31,HSIL,22334.5,11501.0,246,441
32,32,HSIL,20505.0,11970.0,180,204
33,33,HSIL,13405.5,17131.5,261,203
34,34,HSIL,17419.0,18225.5,147,146
35,35,HSIL,17603.0,18266.0,196,158
36,36,HSIL,17997.0,17656.5,315,302
37,37,HSIL,25498.0,13151.0,344,302
38,38,HSIL,26926.0,12835.0,116,118
39,39,HSIL,29450.5,13869.5,195,169
40,40,ASC-H,31110.5,12128.5,185,105
41,41,ASC-H,33793.5,10662.5,307,179
42,42,LSIL,36610.5,8862.5,411,451
43,43,ASC-H,40895.5,9498.0,392,253
44,44,LSIL,42509.5,8276.5,145,247
45,45,ASC-H,45075.0,7591.5,385,238
46,46,LSIL,45466.5,9096.5,373,349
47,47,ASC-H,50159.5,8743.5,321,417
48,48,ASC-H,51762.5,8863.0,102,161
49,49,ASC-H,61252.5,12684.0,232,391
50,50,LSIL,62315.0,12379.5,165,122
51,51,ASC-H,63076.5,12248.0,162,147
52,52,LSIL,64127.5,12774.5,181,207
53,53,ASC-H,64813.0,13467.0,184,214
54,54,HSIL,66296.5,13244.5,193,127
55,55,ASC-H,67579.5,14456.5,411,231
56,56,ASC-H,69165.0,14848.0,308,228
57,57,ASC-H,70268.5,14729.5,311,287
58,58,ASC-H,75296.5,17728.5,359,299
59,59,ASC-H,66393.0,16911.0,204,148
60,60,ASC-H,65093.5,15528.0,98,167
61,61,ASC-H,64552.5,16231.0,206,213
62,62,LSIL,54550.5,10442.0,272,231
63,63,ASC-H,44297.0,12186.5,253,306
64,64,HSIL,40354.5,12056.5,151,223
65,65,ASC-H,39183.0,12428.5,225,140
66,66,ASC-H,35016.5,12899.5,267,319
67,67,LSIL,31591.5,11528.0,230,301
68,68,LSIL,31938.5,10286.5,211,163
69,69,ASC-H,29615.0,10354.0,192,362
70,70,ASC-H,29732.0,8828.0,196,292
71,71,ASC-H,29665.0,8682.5,67,110
72,72,HSIL,24427.5,13880.0,170,141
73,73,ASC-H,20912.5,13410.0,148,231
74,74,ASC-H,21459.0,15002.0,138,160
75,75,HSIL,20895.0,19476.0,98,130
76,76,LSIL,22070.5,18838.0,426,385
77,77,ASC-H,26082.5,20721.5,309,363
78,78,ASC-H,28412.5,20850.0,426,305
79,79,ASC-H,41637.5,19428.0,220,187
80,80,ASC-H,46156.0,19555.0,434,374
81,81,ASC-H,46322.0,19062.0,452,736
82,82,ASC-H,46989.5,14602.5,225,365
83,83,ASC-H,46827.5,15027.5,281,361
84,84,ASC-H,47960.0,14761.0,230,314
85,85,LSIL,77288.0,23248.5,367,356
86,86,LSIL,61828.5,27012.0,244,301
87,87,LSIL,62630.5,26739.5,337,305
88,88,LSIL,55163.5,28784.5,229,203
89,89,LSIL,54285.5,30030.0,244,319
90,90,LSIL,47648.5,25597.5,481,443
91,91,ASC-H,44319.5,29133.5,603,415
92,92,LSIL,41179.5,27337.5,267,183
93,93,ASC-H,34680.5,22305.5,197,119
94,94,ASC-H,29823.0,25219.5,175,206
95,95,ASC-H,32936.5,26722.0,204,267
96,96,HSIL,27753.5,28440.5,325,293
97,97,HSIL,18938.5,29058.5,167,179
98,98,HSIL,13771.5,25956.0,188,237
99,99,HSIL,13445.5,25964.5,209,219
100,100,HSIL,10407.0,28025.0,326,294
101,101,ASC-H,9647.0,34774.5,211,248
102,102,ASC-H,29057.5,38157.5,223,233
103,103,ASC-H,45171.0,38625.5,327,356
104,104,ASC-H,67748.5,40307.0,404,275
105,105,ASC-H,75861.5,40336.5,227,335
106,106,ASC-H,76206.0,44428.5,301,392
107,107,HSIL,62393.0,45102.0,496,354
108,108,HSIL,38146.0,43244.0,332,502
109,109,HSIL,36416.5,42166.5,253,287
110,110,ASC-H,37626.5,41569.0,370,253
111,111,ASC-H,39112.0,41425.5,143,210
112,112,HSIL,28928.5,42236.5,371,547
113,113,HSIL,28594.0,41889.5,153,142
114,114,ASC-H,28307.0,40865.0,256,164
115,115,ASC-H,20757.5,44442.5,251,283
116,116,ASC-H,21691.5,45416.5,411,407
117,117,ASC-H,26443.5,45718.0,300,415
118,118,ASC-H,59430.0,51938.5,373,618
