index,type,boundary_center_x,boundary_center_y,height,width
0,HSIL,43739.5,44391.0,128,159
1,LSIL,55775.5,52491.5,177,183
2,ASC-H,72741.0,63677.5,241,244
3,ASC-H,60660.5,71420.0,120,153
4,ASC-H,61934.5,74652.0,180,189
5,ASC-H,50696.0,75228.5,331,518
6,ASC-H,30647.5,78167.5,399,435
7,ASC-H,32534.0,73970.5,259,212
8,ASC-H,27948.5,71839.0,184,207
9,ASC-H,20352.0,71453.0,352,312
10,ASC-H,12741.0,66913.5,213,278
11,ASC-H,13479.5,58205.5,163,163
12,ASC-H,9916.5,56224.5,211,227
13,ASC-H,10741.0,32029.5,235,304
14,ASC-H,19550.0,13568.5,165,348
15,ASC-H,24170.0,5655.5,245,286
16,ASC-H,47772.0,6841.0,366,416
17,ASC-H,53448.5,4215.5,323,227
18,ASC-H,60937.0,5549.5,155,186
19,ASC-H,66403.0,11879.0,202,164
20,ASC-H,76647.0,23057.5,119,198
21,ASC-H,51673.5,43976.5,291,227
