,type,boundary_center_x,boundary_center_y,height,width
0,NILM-Parabasal,44090.5,41774.0,134,165
1,NILM-Parabasal,44894.0,41630.5,95,92
2,NILM-Parabasal,45054.5,41804.5,111,105
3,NILM-Parabasal,45066.0,41988.5,107,120
4,NILM-glands,44534.5,42711.5,149,177
5,NILM-Parabasal,46047.0,43172.0,102,98
6,NILM-Parabasal,43490.5,41192.0,142,147
7,NILM-Parabasal,44357.5,41198.5,109,145
8,NILM-Parabasal,44848.0,41363.0,192,96
9,NILM-Parabasal,46644.0,42171.0,162,124
10,NILM-Parabasal,46783.0,43687.0,140,106
11,NILM-Parabasal,44718.5,43675.0,120,125
12,NILM-Parabasal,46054.5,44561.0,128,195
13,NILM-Parabasal,47317.0,43401.5,75,86
14,NILM-Parabasal,48488.5,44013.5,151,133
15,NILM-Parabasal,49550.0,45369.0,132,120
16,NILM-Parabasal,48734.5,43667.5,93,101
17,NILM-Parabasal,47264.5,44867.0,96,103
18,NILM-Parabasal,46581.0,45677.0,160,164
19,NILM-Parabasal,46977.0,46247.0,102,100
20,NILM-Parabasal,48014.0,46417.0,88,100
21,NILM-Parabasal,48698.5,46719.5,115,105
22,NILM-Parabasal,49050.0,46751.0,106,146
23,NILM-Parabasal,48231.0,45273.0,84,78
24,NILM-Parabasal,50151.5,47019.0,90,113
25,NILM-Parabasal,50624.5,46879.0,112,121
26,NILM-Parabasal,50670.0,46591.0,118,164
27,NILM-Parabasal,51285.0,46751.0,184,130
28,NILM-Parabasal,52432.0,48279.5,141,100
29,NILM-Parabasal,51062.5,48341.0,160,111
30,NILM-Parabasal,49925.5,48836.5,155,103
31,NILM-Parabasal,52302.5,49460.0,130,117
32,NILM-Parabasal,51143.0,50707.5,169,194
33,NILM-Parabasal,52588.0,50130.5,139,158
34,NILM-Parabasal,53052.5,49757.0,94,97
35,NILM-Parabasal,53243.5,50460.0,74,101
36,NILM-Parabasal,50162.5,49525.0,102,115
37,NILM-Parabasal,50193.5,51043.5,79,107
38,NILM-Parabasal,52579.0,48830.5,77,90
39,NILM-Parabasal,52840.0,50509.5,105,120
40,NILM-Parabasal,52492.0,52283.0,150,170
41,NILM-Parabasal,50407.0,53146.0,82,90
42,NILM-Parabasal,49242.5,52857.0,78,97
43,NILM-Parabasal,50988.0,52960.0,118,150
44,NILM-Parabasal,52141.5,53142.5,189,115
45,NILM-Parabasal,50814.0,55575.0,142,122
46,NILM-Parabasal,50485.5,55186.0,108,83
47,NILM-Parabasal,50758.0,55842.0,92,94
48,NILM-Parabasal,50380.5,54510.5,115,91
49,NILM-Parabasal,50944.5,56106.0,130,151
50,NILM-Parabasal,51779.0,56157.0,116,116
51,NILM-Parabasal,51507.0,56327.5,95,84
52,NILM-Parabasal,52228.5,56340.0,124,107
53,NILM-Parabasal,51918.0,56473.0,334,302
54,NILM-Parabasal,51866.5,57188.5,159,113
55,NILM-Parabasal,52721.5,57451.5,191,157
56,NILM-Parabasal,50103.5,58445.0,94,109
57,NILM-Parabasal,52046.0,59431.0,130,108
58,NILM-Parabasal,50836.0,60203.0,124,122
59,NILM-Parabasal,51163.5,59944.0,72,97
60,NILM-Parabasal,51809.5,57933.0,136,105
61,NILM-Parabasal,49627.5,58008.0,106,93
62,NILM-Parabasal,50111.5,62310.5,109,113
63,NILM-Parabasal,50439.5,62293.5,131,127
64,NILM-Parabasal,51502.0,61955.5,103,144
65,NILM-Parabasal,50969.5,61876.5,69,77
66,NILM-Parabasal,51205.5,62375.0,142,223
67,NILM-Parabasal,52309.5,62252.5,127,127
68,NILM-Parabasal,49760.5,62630.5,121,135
69,NILM-Parabasal,48425.5,63388.5,75,103
70,NILM-Parabasal,48456.0,63116.5,81,100
71,NILM-Parabasal,50804.0,63742.5,115,98
72,NILM-Parabasal,51817.5,63754.0,76,95
73,NILM-Parabasal,51892.0,63545.5,85,84
74,NILM-Parabasal,52182.5,63799.0,148,129
75,NILM-Parabasal,52916.5,64003.0,78,109
76,NILM-Parabasal,53275.0,64067.5,157,106
77,NILM-Parabasal,51134.0,65370.0,78,132
78,NILM-Parabasal,50633.5,64733.0,110,137
79,NILM-Parabasal,53408.5,65568.0,102,99
80,NILM-Parabasal,53226.0,65167.5,93,66
81,NILM-Parabasal,53801.0,64420.0,86,104
82,NILM-Parabasal,55166.0,65434.5,109,148
83,NILM-Parabasal,56612.5,66311.0,138,91
84,NILM-Parabasal,55300.0,66923.5,113,156
85,NILM-Parabasal,53914.5,67490.5,95,139
86,NILM-Parabasal,55222.5,68362.0,88,133
87,NILM-Parabasal,55149.0,68510.5,129,110
88,NILM-Parabasal,56168.5,67020.5,97,91
89,NILM-Parabasal,56901.0,67160.0,136,110
90,NILM-Parabasal,53091.5,67477.5,103,153
91,NILM-Parabasal,57655.5,68595.0,158,131
92,NILM-Parabasal,57567.0,68402.0,124,172
93,NILM-Parabasal,57009.5,68775.0,82,73
94,NILM-Parabasal,58431.0,68048.0,118,104
95,NILM-Parabasal,56905.0,69385.5,111,110
